;;;;;;;;;;;;;;;;;;;;;ПРОИЗВОДСТВЕННО - СКЛАДСКОЙ КОМПЛЕКС «ЦИФРОВОЙ ПРОМЫШЛЕННЫЙ КОВОРКИНГ ИНДАСТРИАЛ СИТИ «ЛЕНИНСКИЙ»;;;;;;;
ID_проекта;№ п/п;Наименование  работ (разделов работ).;№ Договора;Шифр;Номер шифра;Блок;Шифр полный;"Ноябрь
0feb8a44-a0f4-11ef-af7f-0050560219d5;2;Стеновые и кровельные ограждающие конструкции;65-ХСА-1/24;АС;2;B;65-ХСА-1/24-АС2-В;;;;;;;;;;;;;;30.04.2025;Загружен, возвращен на доработку;не принят;"по распоряжению №47к-Li от 13.10.25г. Скорректировать логитип на кровле из ПВХ-мембраны тезнониколь 1,5 мм RAL 3016

Согласно распоряжения №55 LI от 20.08.25 добавить витражи на фасады Base

согласно распоряжения согласно распоряжения №53к-Li от 06.02.26:
1.остекление входных групп выполнить двухкамерными стеклопакетами (СПД4Т/Gray-12-4-12-4), стекло тонированное Planibel Grey;
2.Остекление дверного блока выполнить однокамерными стеклопакетами по формуле СПД4Т/Grey-20-4, стекло тонированное Planibel Grey;
3.Дверное полотно каждого из боксов оборудовать:
3.1. Доводчиком с ограничением открывания полотна типа TS, производителя «DORMA» со скользящей тягой, или аналог;
3.2. Врезным механическим замком серии 920 производителя «DORMA», или аналог с защелкой и штифтовым механизмом, который предусматривается для запирания входной двери в том числе вне рабочего времени;
3.3. Цилиндр врезного замка типа ключ – вертушка серии CBR-1 PRO производителя «DORMA», или аналог с накладками из нержавеющей стали с наружной стороны;
3.4. Наружной ручкой типа скоба из нержавеющей стали высоту которой принять по формуле: высота дверного блока -500 мм. Ручку причинять производителя «FUARO», марки PULL.PH32/*.45 INOX 304, или аналог конструкцией которой должна предусматривать собой нормальный доступ к цилиндру механического врезного замка. Размещение ручки выполнить по центру дверного полотна;
3.5. Внутренняя фалевая ручка типа модели Pure 8100 / 6621 / 6679 производителя, производителя «DORMA»;
3.6. Электромеханической защелкой производителя Soca SL-350B или аналог, которая предусматривается в качестве ответной планки защелке врезного механического замка;
3.7. Упор дверной из нержавеющей стали с резиновым кольцом;
3.8. Комплектом локальной системы контроля и управления доступом (СКУД) в соответствии с требованиями пункта – Система контроля и управления доступом (СКУД) АББ резидентов, указанный в типовых технических заданиях.
4. Проход в боксы резидентов выполняется путем управления защелкой Soca SL-350B. Подача сигнала «ОТКРЫТЬ» для которой формируется на наружной панели видеодомофона с помощью ключом-картой или кнопкой «Открыть» с основной панели видеодомофона, расположенной внутри бокса.
5. Выход из бокса осуществляется путем управления механической защелкой с помощью нажимной фалевой ручки типа «Антипаника».

по распоряжению №13-Ленинский от 22.01.26г. откорректировать сэнвич панели на Югстрой-Авто";31.03.2026;"КРП выдал 03.06.25
КРП выдал 27.06.25";;19.01.26 - эл. Версия - ПаксМеханизация
0feb8a44-a0f4-11ef-af7f-0050560219d5;3;Внутренние перегородки из сэндвич-панелей;65-ХСА-1/24;АС;3;B;65-ХСА-1/24-АС3-В;;;;;;;;;;;;;;30.04.2025;Загружен, принят;не принят;по распоряжению №13-Ленинский от 22.01.26г. откорректировать сэнвич панели на Югстрой-Авто;31.03.2026;КРП выдал 27.06.25;07.11.2025;19.01.26 - эл. Версия - ПаксМеханизация
0feb8a44-a0f4-11ef-af7f-0050560219d5;4;Конструктивные решения пристроек;65-ХСА-1/24;АС;4;B;65-ХСА-1/24-АС4-В;;;;;;;;;;;;;;30.04.2025;Загружен, вышел новый изм;принят;;;"КРП выдал 24.06.25
Изм.1 - КРП выдал 12.11.25
Изм.2 - КРП выдал 06.02.26";"03.07.25
14.11.25 - Изм.1
06.02.26 - Изм.2";"19.01.26 - эл. Версия - Изм.1 - ПаксМеханизация
06.02.26 - Изм.2 - эл.версия - Армикон
06.02.26 - Изм.2 - эл.версия - ПаксМеханизация"
0feb8a44-a0f4-11ef-af7f-0050560219d5;5;Архитектурно-строительные решения пристроек;65-ХСА-1/24;АС;5;B;65-ХСА-1/24-АС5-В;;;;;;;;;;;;;;30.04.2025;Загружен, принят;не принят;"по распоряжению №13-Ленинский от 22.01.26г. откорректировать сэнвич панели на Югстрой-Авто
по распоряжению №62-Li от 26.01.26г. Предусмотреть индивидуальные дверные блоки в технические помещения заводского изготовления вместе с вентиляционной решёткой единым изделием. Высоту вентиляционных решеток принять одинаковой высоты для всех дверей, но не более 600 мм. В помещениях силовых трансформаторов предусмотреть вентиляционные отверстия в нижней части дверей для притока воздуха и в верхней части фрамуги для его удаления. Верх окон и дверей с решётками на фасаде предусмореть в одном уровне. Цвет дверей RAL 7016, фасонных элементов RAL 7024.";31.03.2026;"КРП выдал 06.06.25
КРП выдал 27.06.25";12.08.2025;
0feb8a44-a0f4-11ef-af7f-0050560219d5;6;Конструкции железобетонные. Фундаменты;65-ХСА-1/24;КЖ;1;B;65-ХСА-1/24-КЖ1-В;;;;;;;;;;;;;;30.04.2025;Загружен, вышел новый изм;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия
Изм.1 - КРП выдал 19.11.25";"15.05.2025
20.11.25 - Изм.1";"06.10.25 - бум. версия - ООО «СвайСпецСтрой-Р»
19.01.26 - эл. Версия - Изм.1 - ПаксМеханизация"
0feb8a44-a0f4-11ef-af7f-0050560219d5;7;Конструкции железобетонные. Фундаменты. Изделия;65-ХСА-1/24;КЖ.И;1;B;65-ХСА-1/24-КЖ1.И-В;;;;;;;;;;;;;;30.04.2025;Загружен, вышел новый изм;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия
Изм.1 - КРП выдал 19.11.25";"23.05.2025
20.11.25 - Изм.1";"17.10.25 - бум.версия - ЖилСтройСити
19.01.26 - эл. Версия - Изм.1 - ПаксМеханизация"
0feb8a44-a0f4-11ef-af7f-0050560219d5;8;Конструкции железобетонные. Цокольные панели;65-ХСА-1/24;КЖ;2;B;65-ХСА-1/24-КЖ2-В;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия
Изм.1 - КРП выдал 18.02.26";"26.05.25
18.02.26 - Изм.1";"19.01.26 - эл. Версия - ПаксМеханизация
18.02.26 - Изм.1 - эл. версия - ПаксМеханизация"
0feb8a44-a0f4-11ef-af7f-0050560219d5;9;Конструкции железобетонные. Цокольные панели. Изделия;65-ХСА-1/24;КЖ.И;2;B;65-ХСА-1/24-КЖ2.И-В;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия";27.05.2025;"17.10.25 - бум.версия - ЖилСтройСити
19.01.26 - эл. Версия - ПаксМеханизация"
0feb8a44-a0f4-11ef-af7f-0050560219d5;10;Конструкции железобетонные. Доклевеллеры;65-ХСА-1/24;КЖ;3;B;65-ХСА-1/24-КЖ3-В;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия";20.05.2025;19.01.26 - эл. Версия - ПаксМеханизация
0feb8a44-a0f4-11ef-af7f-0050560219d5;11;Конструкции железобетонные. Доклевеллеры. Изделия;65-ХСА-1/24;КЖ.И;3;B;65-ХСА-1/24-КЖ3.И-В;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия";20.05.2025;"17.10.25 - бум.версия - ЖилСтройСити
19.01.26 - эл. Версия - ПаксМеханизация"
0feb8a44-a0f4-11ef-af7f-0050560219d5;12;Конструкции железобетонные. Колонны;65-ХСА-1/24;КЖ;4;B;65-ХСА-1/24-КЖ4-В;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия
Изм.1 - КРП выдал 13.03.26";"20.05.25
16.03.26 - Изм.1";"19.01.26 - эл. Версия - ПаксМеханизация
16.03.26 - эл. Версия - Изм.1 - ПаксМеханизация"
0feb8a44-a0f4-11ef-af7f-0050560219d5;13;Конструкции железобетонные. Колонны. Изделия;65-ХСА-1/24;КЖ.И;4;B;65-ХСА-1/24-КЖ4.И-В;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия
Изм.1 - КРП выдал 30.05.25";02.06.2025 - Изм.1;"17.10.25 - бум.версия - ЖилСтройСити
19.01.26 - эл. Версия - Изм.1 - ПаксМеханизация"
0feb8a44-a0f4-11ef-af7f-0050560219d5;14;Конструкции железобетонные. Полы. Отбойники.;65-ХСА-1/24;КЖ;5;B;65-ХСА-1/24-КЖ5-В;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"КРП выдал 24.06.25
Изм.1 - КРП выдал 06.11.25";06.11.25 - Изм.1;"28.07.25 - эл.версия - Пакс-Механизация
19.01.26 - эл. Версия - Изм.1 - ПаксМеханизация"
0feb8a44-a0f4-11ef-af7f-0050560219d5;15;Конструкции железобетонные. Плиты перекрытий;65-ХСА-1/24;КЖ;6;B;65-ХСА-1/24-КЖ6-В;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;КРП выдал 24.06.25;09.07.2025;19.01.26 - эл. Версия - ПаксМеханизация
